image name,Algorithm,Filters,Bandwidth/Cluster Value,precision,recall,fscore,IoU,peer Precision,Peer Recall,Peer fscore,Peer IoU
img06.jpg,kmeans,GABOR,5,17.71%,18.26%,0.11,9.88%,25.58%,27.93%,0.18,15.41%
img06.jpg,Mean Shift,RGB,40,13.10%,7.92%,0.08,5.19%,16.91%,15.51%,0.15,8.80%
img07.png,kmeans,RGB,2,72.51%,77.33%,0.74,59.80%,72.59%,77.62%,0.74,60.03%
img07.png,kmeans,LAB,2,72.51%,77.33%,0.74,59.80%,72.59%,77.62%,0.74,60.03%
img07.png,kmeans,GABOR,2,76.90%,84.52%,0.77,67.41%,76.90%,84.77%,0.77,67.56%
img07.png,Mean Shift,RGB,40,21.52%,10.13%,0.14,7.40%,28.45%,13.76%,0.17,10.22%
img07.png,Mean Shift,LAB,40,64.39%,63.70%,0.64,47.11%,64.47%,63.88%,0.64,47.25%
img08.jpg,kmeans,RGB,5,40.88%,48.59%,0.40,28.53%,36.36%,31.89%,0.34,20.47%
img08.jpg,kmeans,LAB,5,36.63%,31.85%,0.34,20.54%,36.36%,31.89%,0.34,20.47%
img08.jpg,kmeans,GABOR,5,19.39%,25.49%,0.21,12.38%,37.97%,34.05%,0.34,21.88%
img08.jpg,Mean Shift,RGB,30,66.13%,68.59%,0.67,50.75%,15.93%,13.33%,0.14,7.83%
img08.jpg,Mean Shift,LAB,30,2.98%,5.74%,0.04,2.00%,11.97%,25.18%,0.16,8.83%
img09.png,kmeans,RGB,5,27.04%,28.31%,0.27,16.05%,33.33%,36.04%,0.34,20.95%
img09.png,kmeans,LAB,5,27.04%,28.31%,0.27,16.05%,15.40%,14.67%,0.15,8.12%
img09.png,kmeans,GABOR,5,36.95%,34.16%,0.34,21.58%,20.70%,18.76%,0.18,10.92%
img09.png,Mean Shift,RGB,40,21.67%,36.63%,0.27,15.76%,16.79%,26.82%,0.20,11.51%
img09.png,Mean Shift,LAB,60,13.63%,31.28%,0.19,10.49%,10.69%,25.66%,0.15,8.16%
img10.jpg,kmeans,RGB,4,37.97%,32.70%,0.31,21.31%,46.57%,46.07%,0.29,30.14%
img10.jpg,kmeans,LAB,4,24.77%,19.29%,0.20,12.16%,25.75%,9.03%,0.06,7.16%
img10.jpg,kmeans,GABOR,4,44.51%,34.81%,0.32,24.28%,25.90%,16.55%,0.17,11.23%
img10.jpg,Mean Shift,RGB,40,29.28%,24.62%,0.26,15.44%,49.12%,50.73%,0.44,33.25%
img10.jpg,Mean Shift,LAB,20,41.05%,46.83%,0.44,28.00%,45.27%,45.91%,0.45,29.53%
